FROM_NODE,TO_NODE,VALUE
3.0,76,271791.82833
76.0,88,1458.625174
76.0,96,86848.3616
2.0,76,406695.0
76.0,98,3227.7348675
76.0,100,24592.03326
76.0,99,90587.78656
90.0,76,48720.732463
76.0,101,145767.215205
76.0,102,33226.9815
76.0,97,121652.641875
76.0,103,67908.9143625
76.0,104,149934.89
76.0,105,176234.5
5.0,76,651901.908231
1.0,76,215.81948
76.0,79,540.90435
76.0,81,125124.569977
76.0,78,4202.515
76.0,80,11794.155
76.0,84,202101.38652
76.0,106,227843.55324
76.0,107,85405.95
76.0,108,2033.475
76.0,110,104247.652602
76.0,111,5870.26
76.0,112,297459.575798
76.0,113,114847.501035
76.0,83,155771.565014
76.0,92,129412.55
76.0,114,4269.28
6.0,76,133431.676875
76.0,95,377413.69105
76.0,115,91811.9203785
76.0,77,71270.293
7.0,76,122741.8
76.0,89,72710.90817
76.0,90,16410.045
76.0,94,11340.275
76.0,75,221372.627736
76.0,91,133415.0
76.0,86,258758.899477
8.0,76,84007.5431235
83.0,76,124049.267
76.0,109,3047.46543
76.0,117,13341.5
76.0,118,53366.0
76.0,116,32686.675
76.0,72,340938.03005
76.0,73,84798.520634
76.0,120,16510.10625
10.0,76,9819.344
76.0,119,40024.5
76.0,85,69589.264
11.0,76,1756.995501
76.0,122,79381.925
76.0,121,9336.3817
12.0,76,400245.0
76.0,123,26816.415
76.0,82,13017.9286005
76.0,87,108669.1858
76.0,125,2326.7576
76.0,126,65338.6621
76.0,124,90484.587885
76.0,74,66707.5
76.0,93,1029.9638
13.0,76,160098.0
14.0,127,34547.34
15.0,128,4702.48
15.0,129,13110.0
16.0,127,50000.0
131.0,130,94895.5
18.0,131,66707.5
,132,614009.55504
21.0,133,300000.0
22.0,133,40000.0
23.0,133,400000.0
24.0,133,600000.0
28.0,133,40860.0
26.0,133,41932.2
29.0,133,4000.0
27.0,133,299970.0
30.0,133,116565.12
25.0,133,50000.0
20.0,133,100000.0
136.0,134,4800271.7
136.0,135,603035.8
177.0,136,602829.753874
33.0,137,271079.84095
34.0,137,117617.022995
137.0,138,186781.0
137.0,139,120073.5
37.0,140,340000.0
36.0,140,149980.0
38.0,143,38704.66
38.0,142,38704.66
38.0,141,38704.66
157.0,148,27113.0
157.0,150,54226.0
157.0,151,34975.77
157.0,152,22964.711
157.0,153,6602.0155
157.0,149,85405.95
157.0,154,4744.775
157.0,156,34975.77
40.0,157,6778.25
41.0,157,6778.25
42.0,157,6778.25
157.0,155,4197.0924
157.0,158,1017.361099
157.0,144,23723.875
157.0,145,27023.5271
157.0,146,6100.425
157.0,147,27113.0
43.0,157,6670.75
44.0,157,6670.75
45.0,157,6670.75
46.0,157,8004.9
47.0,157,6670.75
48.0,157,6670.75
157.0,159,13234.768
51.0,160,92721.010287
53.0,160,191146.65
54.0,160,513641.07925
49.0,160,213464.0
52.0,160,106501.018611
160.0,161,149424.8
160.0,162,60036.75
177.0,160,60036.75
160.0,164,333.5375
160.0,165,120144.596854
160.0,163,90989.03
160.0,166,6403252.925
56.0,160,3595527.57925
55.0,160,3068545.0
168.0,167,95733.9478165
58.0,168,533660.0
59.0,168,133380.3121
60.0,168,46018.248924
61.0,168,101519.47595
63.0,169,100000.0
64.0,169,135000.0
62.0,169,1400000.0
65.0,170,500000000.0
170.0,171,100000000.0
65.0,171,100000000.0
171.0,174,1500000.0
171.0,175,1500000.0
171.0,176,5000000.0
171.0,177,15000000.0
171.0,172,25000000.0
170.0,172,100000000.0
172.0,173,25000000.0
70.0,173,82000000.0
170.0,173,300000000.0
173.0,179,260000000.0
171.0,178,185000000.0
178.0,172,10000000.0
76.0,10,260000000.0
10.0,90,1000.0
90.0,100,185000000.0
100.0,76,235.0
178.0,90,82000000.0
90.0,62,68000000.0
62.0,10,19000.0
10.0,70,25000000.0
70.0,171,6000000.0
